school,county,city,lat,lon
21ST CENTURY EARLY LEARNING FOUN,hidalgo,WESLACO,26.147281,-97.957689
3D ACADEMY,hidalgo,DONNA,26.171576,-98.041748
3RD,collin,WYLIE,33.003282,-96.536665
6TH GRADE CENTER,hunt,GREENVILLE,33.124748,-96.113101
7TH H S - NORTHEAST,williamson,ROUND ROCK,30.51141,-97.696991
A & M CONS,brazos,COLLEGE STATION,30.591777,-96.316423
A & M CONSOLIDATED MIDDLE,brazos,COLLEGE STATION,30.612149,-96.327412
A B DUNCAN EL,floyd,FLOYDADA,33.975419,-101.331122
A B MCBAY EL,limestone,MEXIA,31.692987,-96.473822
A C BLUNT MIDDLE,san patricio,ARANSAS PASS,27.91595,-97.17082
A C JONES,bee,BEEVILLE,28.419384,-97.752997
A E BUTLER INT,hunt,QUINLAN,32.905894,-96.131093
A G ELDER EL,johnson,JOSHUA,32.455653,-97.378107
A LEAL JR MIDDLE,bexar,SAN ANTONIO,29.368974,-98.52129
A M AIKIN EL,montgomery,NEW CANEY,30.176774,-95.153881
A M OCHOA EL,hidalgo,DONNA,26.165312,-98.052227
A M PATE EL,tarrant,FORT WORTH,32.707352,-97.253201
A MACEO SMITH NEW TECH,dallas,DALLAS,32.692696,-96.765614
A N RICO EL,hidalgo,WESLACO,26.18313,-97.956821
A P BEUTEL EL,brazoria,LAKE JACKSON,29.033839,-95.430179999999993
A P SOLIS MIDDLE,hidalgo,DONNA,26.16213,-98.058057
A V CATO EL,tarrant,FORT WORTH,32.76899,-97.387511
A W BROWN - F L A EARLY CHILDHOO,dallas,DALLAS,32.663571,-96.882213
A+ ACADEMY,dallas,DALLAS,32.691127,-96.644073
A+ UNLIMITED POTENTIAL,harris,HOUSTON,29.73171,-95.420351
A+UP UNIVERSITY,harris,HOUSTON,29.73578,-95.357131
AAEP (ACADEMIC ALTERNATIVE EDUCA,liberty,DAYTON,30.038623,-94.891813
AARON PARKER EL,lamar,POWDERLY,33.814011,-95.521827
AB HARRISON INT,collin,WYLIE,33.003315,-96.540162
ABBETT EL,dallas,GARLAND,32.969609,-96.63811
ABBOTT SCHOOL,hill,ABBOTT,31.883393,-97.07685
ABELL J H,midland,MIDLAND,32.009693,-102.16108
ABERNATHY,hale,ABERNATHY,33.83135,-101.847263
ABERNATHY DAEP,hale,PLAINVIEW,34.193759,-101.712873
ABERNATHY EL,hale,ABERNATHY,33.83135,-101.847263
ABERNATHY J H,hale,ABERNATHY,33.83135,-101.847263
ABILENE,taylor,ABILENE,32.455757,-99.755994
ABILENE BEHAVIORAL HEALTH,taylor,ABILENE,32.400414,-99.739568
ABOUT FACE JJAEP,el paso,EL PASO,31.858936,-106.437633
ABOUT FACE PROGRAM EL,el paso,EL PASO,31.85836,-106.437681
ABRAHAM KAZEN MIDDLE,bexar,SAN ANTONIO,29.329589,-98.546626
ACADEMIC BEHAVIOR SCHOOL EAST,harris,HOUSTON,29.699504,-95.284477999999993
ACADEMIC BEHAVIOR SCHOOL WEST,harris,HOUSTON,29.725118,-95.503027
ACADEMY,bell,LITTLE RIVER,30.982934,-97.345646
ACADEMY AT CARRIE F THOMAS,tarrant,NORTH RICHLAND HILLS,32.848336,-97.20546
