test,year,school,county,city,math,reading,writing,english,science,total
ACT,2011,A & M CONS,brazos,HUNTSVILLE,NA,NA,NA,23.3,24.1,24.4
ACT,2011,A C JONES,bee,CORPUS CHRISTI,NA,NA,NA,16.7,18.6,18.4
ACT,2011,A J MOORE ACAD,mclennan,WACO,NA,NA,NA,16.1,18.1,18
ACT,2011,A MACEO SMITH HIGH SCHOOL,dallas,RICHARDSON,NA,NA,NA,12.6,14.8,14.5
ACT,2011,ABBOTT SCHOOL,hill,WACO,NA,NA,NA,19.4,20.9,20.4
ACT,2011,ABERNATHY,hale,LUBBOCK,NA,NA,NA,18.6,21.2,20.9
ACT,2011,ABILENE,taylor,ABILENE,NA,NA,NA,19.5,21,20.8
ACT,2011,ACADEMY,bell,WACO,NA,NA,NA,20.7,23.6,22.7
ACT,2011,ACADEMY HIGH SCHOOL,hays,AUSTIN,NA,NA,NA,NA,NA,NA
ACT,2011,ACADEMY OF CAREERS AND TECHNOLOGIE,bexar,SAN ANTONIO,15,NA,NA,12,14.2,13.8
ACT,2011,ACADEMY OF CREATIVE ED,bexar,SAN ANTONIO,NA,NA,NA,NA,NA,NA
ACT,2011,ADRIAN SCHOOL,oldham,AMARILLO,19,NA,NA,19.5,19,19.3
ACT,2011,ADVANTAGE ACADEMY,dallas,RICHARDSON,NA,NA,NA,18.8,16.5,18.5
ACT,2011,AGUA DULCE,nueces,CORPUS CHRISTI,NA,NA,NA,17.6,19.6,19.4
ACT,2011,AIM CENTER,orange,BEAUMONT,NA,NA,NA,NA,NA,NA
ACT,2011,AKINS,travis,AUSTIN,NA,NA,NA,15.7,17.3,17.2
ACT,2011,ALAMO HEIGHTS,bexar,SAN ANTONIO,NA,NA,NA,24,23.6,24.2
ACT,2011,ALBA-GOLDEN,wood,KILGORE,NA,NA,NA,17.7,19.9,19.1
ACT,2011,ALBANY JR-SR,shackelford,ABILENE,NA,NA,NA,21.4,22.3,22.5
ACT,2011,ALDINE,harris,HOUSTON,NA,NA,NA,16,17.9,17.6
ACT,2011,ALEDO HIGH SCHOOL,parker,FORT WORTH,NA,25,NA,24.7,23.8,24.9
ACT,2011,ALICE,jim wells,CORPUS CHRISTI,NA,NA,NA,17.3,18.6,18.4
ACT,2011,ALLEN,collin,RICHARDSON,NA,NA,NA,23.3,23.8,24.1
ACT,2011,ALLISON STEELE ENHANCED LEARNING C,guadalupe,AUSTIN,NA,NA,NA,NA,NA,NA
ACT,2011,ALPHA,montgomery,HUNTSVILLE,NA,NA,NA,NA,NA,NA
ACT,2011,ALPINE,brewster,MIDLAND,NA,NA,NA,17.1,19.1,18.5
ACT,2011,ALTER SCH,bowie,MT PLEASANT,NA,NA,NA,NA,NA,NA
ACT,2011,ALTO,cherokee,KILGORE,NA,NA,NA,16.5,18.3,18.3
ACT,2011,ALVARADO,johnson,FORT WORTH,NA,19,NA,17,19.6,18.8
ACT,2011,ALVIN HIGH SCHOOL,brazoria,HOUSTON,NA,NA,NA,20.5,21.6,21.8
ACT,2011,ALVORD,wise,FORT WORTH,NA,NA,NA,19.8,22.2,22.1
ACT,2011,AMARILLO,potter,AMARILLO,NA,NA,NA,22,22.7,22.8
ACT,2011,AMARILLO AREA CTR FOR ADVANCED LRN,potter,AMARILLO,NA,NA,NA,NA,NA,NA
ACT,2011,AMERICAS,el paso,EL PASO,NA,NA,NA,17.6,19.2,19
ACT,2011,AMHERST SCHOOL,lamb,LUBBOCK,NA,NA,NA,18.6,18.6,18.9
ACT,2011,ANAHUAC,chambers,HOUSTON,21,NA,NA,17.9,19.8,19.7
ACT,2011,ANDERSON,travis,AUSTIN,NA,NA,NA,23.8,24.4,25
ACT,2011,ANDERSON-SHIRO JR/SR,grimes,HUNTSVILLE,NA,NA,NA,19.1,21.5,20.9
ACT,2011,ANDRESS,el paso,EL PASO,18,NA,NA,15.4,17.4,17
ACT,2011,ANDREWS,andrews,MIDLAND,NA,NA,NA,20,20.9,21
ACT,2011,ANDY DEKANEY,harris,HOUSTON,NA,NA,NA,15,17.1,16.8
ACT,2011,ANGLETON,brazoria,HOUSTON,NA,NA,NA,20.1,20.9,21.3
ACT,2011,ANNA,collin,RICHARDSON,22,NA,NA,20.4,21.3,21.7
ACT,2011,ANSON,jones,ABILENE,NA,NA,NA,21.4,22.6,22.2
ACT,2011,ANTHONY,el paso,EL PASO,NA,NA,NA,15.8,18.2,17.7
ACT,2011,ANTON,hockley,LUBBOCK,NA,NA,NA,18.5,19.8,19.5
ACT,2011,ARANSAS PASS,san patricio count,CORPUS CHRISTI,19,NA,NA,17.7,19.3,18.8
ACT,2011,ARCHER CITY,archer,WICHITA FALLS,NA,20,NA,19.8,20,20.5
ACT,2011,ARGYLE,denton,FORT WORTH,NA,NA,NA,23.5,24.1,24.6
ACT,2011,ARLINGTON,tarrant,FORT WORTH,NA,NA,NA,21.1,21.7,21.9
ACT,2011,ARLINGTON HEIGHTS,tarrant,FORT WORTH,NA,NA,NA,20.1,20.9,21.1
ACT,2011,ARP,smith,KILGORE,NA,NA,NA,19.6,21.1,20.8
ACT,2011,ASPERMONT,stonewall,ABILENE,NA,NA,NA,17,18.1,18.1
ACT,2011,ASSETS,brazoria,HOUSTON,NA,NA,NA,NA,NA,NA
ACT,2011,ATASCOCITA,harris,HOUSTON,NA,NA,NA,20.3,21.5,21.5
ACT,2011,ATHENS,henderson,KILGORE,NA,NA,NA,19.5,20.1,20.3
ACT,2011,ATLANTA,cass,MT PLEASANT,NA,NA,NA,18.8,20.3,19.8
ACT,2011,AUBREY,denton,FORT WORTH,NA,NA,NA,21.5,22.8,22.5
ACT,2011,AUSTIN,el paso,EL PASO,NA,NA,NA,15.5,18,17.4
ACT,2011,AUSTIN,harris,HOUSTON,NA,NA,NA,12.8,15.7,15.2
ACT,2011,AUSTIN,travis,AUSTIN,NA,NA,NA,21.2,22,22.3
ACT,2011,AUSTIN CAN ACADEMY CHARTER SCHOOL,travis,AUSTIN,NA,NA,NA,NA,NA,NA
ACT,2011,AUSTWELL-TIVOLI,refugio,VICTORIA,NA,NA,NA,NA,NA,NA
ACT,2011,AVALON SCHOOL,ellis,RICHARDSON,NA,NA,NA,NA,NA,NA
ACT,2011,AVERY,red river,MT PLEASANT,21,NA,NA,20.3,21.6,21.7
ACT,2011,AVINGER,cass,MT PLEASANT,NA,NA,NA,22.4,22.2,22.4
ACT,2011,AXTELL,mclennan,WACO,NA,NA,NA,20.8,21.4,21.5
ACT,2011,AZLE,tarrant,FORT WORTH,NA,NA,NA,21.1,22.3,22.3
ACT,2011,B F TERRY,fort bend,HOUSTON,NA,NA,NA,17.3,19.6,18.9
ACT,2011,BAIRD,callahan,ABILENE,NA,NA,NA,20.9,21.9,21.3
ACT,2011,BALL,galveston,HOUSTON,NA,NA,NA,17.8,20.1,19.6
ACT,2011,BALLINGER,runnels,SAN ANGELO,22,NA,NA,19.9,22.3,21.3
ACT,2011,BALMORHEA SCHOOL,reeves,MIDLAND,21,NA,NA,15.3,21.3,18.7
ACT,2011,BANDERA,bandera,SAN ANTONIO,NA,NA,NA,22.2,23,23.1
ACT,2011,BANGS,brown,SAN ANGELO,NA,NA,NA,20.2,20.1,20.8
ACT,2011,BANQUETE,nueces,CORPUS CHRISTI,NA,NA,NA,15.5,17.6,17.3
ACT,2011,BARBARA JORDAN,harris,HOUSTON,NA,NA,NA,14.9,16.8,16.5
ACT,2011,BARBERS HILL,chambers,HOUSTON,NA,NA,NA,20.6,22.2,22.1
ACT,2011,BARTLETT SCHOOLS,bell,AUSTIN,NA,NA,NA,NA,NA,NA
ACT,2011,BASTROP,bastrop,AUSTIN,20,NA,NA,18.3,19.3,19.4
ACT,2011,BAY CITY,matagorda,VICTORIA,21,NA,NA,17.7,20.2,19.7
ACT,2011,BECKVILLE JR-SR HIGH SCHOOL,panola,KILGORE,19,NA,NA,17.9,18.3,18.8
ACT,2011,BEL AIR,el paso,EL PASO,NA,NA,NA,18.2,19.1,19.1
ACT,2011,BELL,tarrant,FORT WORTH,NA,NA,NA,22.4,22.7,22.9
ACT,2011,BELLAIRE,harris,HOUSTON,NA,NA,NA,24.5,24.5,25
ACT,2011,BELLEVUE SCHOOL,clay,WICHITA FALLS,NA,NA,NA,22.8,25.2,23.3
ACT,2011,BELLS,grayson,RICHARDSON,NA,NA,NA,20.1,21.3,20.8
ACT,2011,BELLVILLE,austin,HUNTSVILLE,NA,NA,NA,20.9,21.9,21.8
ACT,2011,BELTON,bell,WACO,NA,NA,NA,21.5,22.8,22.7
ACT,2011,BEN BOLT-PAL BLANCO,jim wells,CORPUS CHRISTI,NA,NA,NA,16.3,18.8,18
ACT,2011,BENAVIDES SECONDARY,duval,CORPUS CHRISTI,NA,NA,NA,14.4,17.6,16.4
ACT,2011,BENJAMIN SCHOOL,knox,WICHITA FALLS,NA,NA,NA,NA,NA,NA
ACT,2011,BENJI'S SPECIAL EDUCATIONAL ACADEM,harris,HOUSTON,NA,NA,NA,11.8,15.8,14.8
ACT,2011,BERKNER,dallas,RICHARDSON,NA,NA,NA,18.8,20.6,20.6
